,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
Ankit Soni,0.0,70.5,7.553571428571429,0.0,0.0,56.0
GC Smith,28.96,0.0,0.0,1.0805970149253732,0.6358208955223881,0.0
SA Abbott,15.0,55.0,10.3125,1.1538461538461537,0.7692307692307693,32.0
KM Jadhav,27.870967741935484,0.0,0.0,1.2934131736526946,0.7065868263473054,0.0
RG Sharma,35.05833333333333,28.333333333333332,7.456140350877193,1.2849725106902872,0.7495418448381185,22.8
MJ Clarke,19.6,33.5,6.090909090909091,1.0208333333333333,0.5,33.0
AC Gilchrist,27.95945945945946,0.0,0.0,1.3305466237942123,0.9697749196141479,1.0
TM Dilshan,30.210526315789473,72.2,7.876363636363636,1.107039537126326,0.6788813886210222,55.0
AA Bilakhia,13.8,0.0,0.0,0.7840909090909091,0.22727272727272727,0.0
R Ashwin,12.833333333333334,23.77,6.107922912205567,0.9390243902439024,0.4065040650406504,23.35
SM Harwood,9.0,20.333333333333332,5.462686567164179,0.6428571428571429,0.0,22.333333333333332
Shoaib Ahmed,1.0,30.2,8.79611650485437,0.16666666666666666,0.0,20.6
KH Pandya,40.0,36.84615384615385,6.925301204819277,1.5335463258785942,0.9712460063897763,31.923076923076923
AB Agarkar,25.571428571428573,37.89655172413793,8.11070110701107,1.11875,0.5125,28.03448275862069
BMAJ Mendis,11.5,36.0,7.2,0.8518518518518519,0.0,30.0
Ankit Sharma,12.428571428571429,34.0,6.857142857142857,1.2608695652173914,0.7536231884057971,29.75
RJ Peterson,32.0,23.333333333333332,8.75,1.0,0.5625,16.0
RJ Harris,9.75,22.177777777777777,6.922543352601156,1.0446428571428572,0.375,19.22222222222222
RE Levi,13.833333333333334,0.0,0.0,1.1216216216216217,0.8648648648648649,0.0
DL Vettori,20.166666666666668,31.071428571428573,6.649681528662421,1.0254237288135593,0.4745762711864407,28.035714285714285
Sachin Baby,19.571428571428573,4.0,4.8,1.2924528301886793,0.6981132075471698,5.0
STR Binny,23.5625,30.238095238095237,7.188679245283019,1.228013029315961,0.6514657980456026,25.238095238095237
SL Malinga,8.8,18.00657894736842,6.159789947486872,0.8543689320388349,0.5242718446601942,17.539473684210527
MK Pandey,30.45205479452055,0.0,0.0,1.1693845344555498,0.6196738558653341,0.0
VS Yeligati,2.0,53.0,9.9375,1.0,0.0,32.0
A Mishra,17.894736842105264,23.8796992481203,7.113101903695409,0.8900523560209425,0.3612565445026178,20.142857142857142
SN Khan,26.4,0.0,0.0,1.6296296296296295,1.0123456790123457,0.0
AA Chavan,12.0,39.75,7.482352941176471,1.0909090909090908,0.7272727272727273,31.875
PJ Sangwan,4.8,31.428571428571427,7.885304659498208,0.6666666666666666,0.1111111111111111,23.914285714285715
Harmeet Singh,9.0,25.576923076923077,7.26775956284153,1.5,1.0,21.115384615384617
PJ Cummins,12.833333333333334,28.058823529411764,7.5514511873350925,1.375,0.7857142857142857,22.294117647058822
AP Tare,15.409090909090908,0.0,0.0,1.1894736842105262,0.7929824561403509,0.0
